HA_USAGE,HA_USAGE_SCALED
814,0.416155419222904
675,0.345092024539877
1333,0.681492842535787
252,0.128834355828221
12,0.006134969325153
19,0.009713701431493
806,0.412065439672802
214,0.109406952965235
364,0.186094069529652
164,0.083844580777096
1620,0.828220858895705
122,0.062372188139059
1149,0.587423312883436
273,0.139570552147239
1266,0.647239263803681
839,0.428936605316973
1758,0.898773006134969
94,0.048057259713702
129,0.065950920245399
1506,0.769938650306748
1504,0.768916155419223
354,0.180981595092025
1715,0.87678936605317
1743,0.891104294478528
617,0.315439672801636
1612,0.824130879345603
119,0.060838445807771
697,0.356339468302658
155,0.079243353783231
182,0.093047034764826
471,0.24079754601227
750,0.383435582822086
1153,0.589468302658487
884,0.451942740286299
1538,0.786298568507158
588,0.300613496932515
276,0.141104294478528
1121,0.573108384458078
776,0.396728016359918
158,0.08077709611452
741,0.378834355828221
1299,0.664110429447853
527,0.269427402862986
248,0.12678936605317
971,0.496421267893661
734,0.375255623721881
1034,0.528629856850716
1504,0.768916155419223
870,0.44478527607362
563,0.287832310838446
313,0.160020449897751
105,0.053680981595092
1326,0.677914110429448
128,0.065439672801636
183,0.093558282208589
1243,0.635480572597137
1470,0.751533742331288
654,0.334355828220859
528,0.269938650306748
295,0.15081799591002
72,0.03680981595092
1506,0.769938650306748
98,0.050102249488753
566,0.289366053169734
444,0.226993865030675
1080,0.552147239263804
1024,0.523517382413088
464,0.23721881390593
150,0.076687116564417
239,0.122188139059305
1,0.000511247443763
487,0.248977505112474
1611,0.82361963190184
1219,0.62321063394683
252,0.128834355828221
712,0.3640081799591
261,0.133435582822086
385,0.196830265848671
1797,0.918711656441718
1520,0.777096114519427
383,0.195807770961145
355,0.181492842535787
534,0.273006134969325
775,0.396216768916155
622,0.31799591002045
841,0.429959100204499
80,0.040899795501023
1071,0.547546012269939
187,0.09560327198364
355,0.181492842535787
208,0.106339468302658
1664,0.850715746421268
2,0.001022494887526
80,0.040899795501023
1134,0.579754601226994
2,0.001022494887526
1045,0.534253578732106
278,0.142126789366053
676,0.34560327198364
1494,0.763803680981595
419,0.214212678936605
179,0.091513292433538
250,0.127811860940695
186,0.095092024539877
125,0.063905930470348
793,0.405419222903886
1266,0.647239263803681
394,0.201431492842536
1035,0.529141104294479
1061,0.542433537832311
740,0.378323108384458
1517,0.775562372188139
1503,0.76840490797546
933,0.476993865030675
431,0.220347648261759
132,0.067484662576687
556,0.284253578732106
1602,0.819018404907975
537,0.274539877300613
997,0.509713701431493
560,0.286298568507157
731,0.373721881390593
878,0.448875255623722
136,0.069529652351738
122,0.062372188139059
707,0.361451942740286
1110,0.567484662576687
561,0.28680981595092
427,0.218302658486708
261,0.133435582822086
368,0.188139059304703
4,0.002044989775051
1458,0.745398773006135
854,0.436605316973415
271,0.138548057259714
15,0.007668711656442
2,0.001022494887526
512,0.261758691206544
99,0.050613496932515
4,0.002044989775051
992,0.507157464212679
1473,0.753067484662577
1075,0.54959100204499
692,0.353783231083845
1137,0.581288343558282
550,0.28118609406953
919,0.469836400817996
692,0.353783231083845
28,0.014314928425358
13,0.006646216768916
438,0.223926380368098
1326,0.677914110429448
1310,0.669734151329243
561,0.28680981595092
934,0.477505112474438
170,0.086912065439673
533,0.272494887525562
593,0.303169734151329
1155,0.590490797546012
511,0.261247443762781
882,0.450920245398773
781,0.399284253578732
164,0.083844580777096
232,0.118609406952965
207,0.105828220858896
799,0.408486707566462
1040,0.531697341513292
535,0.273517382413088
581,0.297034764826176
137,0.070040899795501
1092,0.558282208588957
1886,0.964212678936605
151,0.07719836400818
171,0.087423312883436
292,0.149284253578732
88,0.044989775051125
1650,0.843558282208589
119,0.060838445807771
1419,0.725460122699387
1292,0.660531697341513
50,0.025562372188139
1397,0.714212678936605
118,0.060327198364008
1235,0.631390593047035
175,0.089468302658487
67,0.034253578732106
242,0.123721881390593
411,0.210122699386503
748,0.38241308793456
57,0.029141104294479
331,0.169222903885481
63,0.032208588957055
44,0.022494887525562
1568,0.801635991820041
842,0.430470347648262
1580,0.807770961145194
451,0.230572597137014
114,0.058282208588957
519,0.265337423312883
817,0.417689161554192
14,0.007157464212679
1956,1
1356,0.693251533742331
622,0.31799591002045
1000,0.511247443762781
5,0.002556237218814
15,0.007668711656442
13,0.006646216768916
585,0.299079754601227
97,0.04959100204499
187,0.09560327198364
952,0.486707566462168
190,0.097137014314929
875,0.447341513292434
1172,0.59918200408998
1270,0.649284253578732
1371,0.700920245398773
115,0.05879345603272
1739,0.889059304703476
80,0.040899795501023
706,0.360940695296523
1369,0.699897750511247
88,0.044989775051125
4,0.002044989775051
423,0.216257668711656
783,0.400306748466258
1265,0.646728016359918
953,0.487218813905931
168,0.085889570552147
511,0.261247443762781
70,0.035787321063395
712,0.3640081799591
1672,0.85480572597137
670,0.342535787321063
125,0.063905930470348
431,0.220347648261759
1664,0.850715746421268
25,0.01278118609407
190,0.097137014314929
1121,0.573108384458078
8,0.004089979550102
326,0.166666666666667
447,0.228527607361963
1071,0.547546012269939
272,0.139059304703477
1144,0.584867075664622
243,0.124233128834356
1278,0.653374233128834
444,0.226993865030675
317,0.162065439672802
462,0.236196319018405
440,0.224948875255624
17,0.008691206543967
19,0.009713701431493
76,0.038854805725971
648,0.331288343558282
671,0.343047034764826
1770,0.904907975460123
1085,0.554703476482618
179,0.091513292433538
887,0.453476482617587
1026,0.524539877300613
1374,0.702453987730061
800,0.408997955010225
1482,0.757668711656442
21,0.010736196319018
1498,0.765848670756646
573,0.292944785276074
1703,0.870654396728016
262,0.133946830265849
21,0.010736196319018
342,0.174846625766871
270,0.138036809815951
281,0.143660531697342
598,0.305725971370143
481,0.245910020449898
243,0.124233128834356
967,0.494376278118609
1606,0.821063394683027
534,0.273006134969325
8,0.004089979550102
1495,0.764314928425358
38,0.019427402862986
1772,0.905930470347648
316,0.161554192229039
